drone_lat,drone_lon,drone_alt,base_lat,base_lon,base_alt,azimuth,elevation,adjusted_azimuth,adjusted_elevation,horizontal_distance,slant_range,altitude_difference,bearing
13.0266757,77.5633501,944.49,13.02668,77.5633612,945.63,248.32,-41.37,248.32,0.0,1.29,1.72,-1.14,248.32
13.0266734,77.5633471,943.91,13.0266718,77.5633631,945.47,275.86,-41.8,275.86,0.0,1.74,2.34,-1.56,275.86
13.0266717,77.5633525,943.18,13.0266644,77.5633641,945.5,302.86,-57.2,302.86,0.0,1.5,2.76,-2.32,302.86
13.0266707,77.5633518,943.25,13.026658,77.5633687,945.6,307.64,-45.5,307.64,0.0,2.31,3.3,-2.35,307.64
13.0266657,77.5633518,943,13.0266576,77.5633716,945.59,292.78,-48.06,292.78,0.0,2.33,3.48,-2.59,292.78
13.0266607,77.5633532,942.68,13.0266571,77.5633701,945.53,282.33,-56.65,282.33,0.0,1.88,3.41,-2.85,282.33
13.0266537,77.563357,941.73,13.0266565,77.5633703,945.66,257.81,-69.42,257.81,0.0,1.48,4.2,-3.93,257.81
13.0266558,77.5633543,941.7,13.0266563,77.5633699,945.82,268.12,-67.66,268.12,0.0,1.69,4.45,-4.12,268.12
13.0266531,77.5633518,941.93,13.0266565,77.5633695,946.02,258.85,-64.44,258.85,0.0,1.96,4.54,-4.09,258.85
13.0266508,77.563347,942.39,13.0266569,77.5633696,946.06,254.52,-55.28,254.52,0.0,2.54,4.46,-3.67,254.52
13.0266636,77.563338,944.2,13.0266574,77.5633694,946.1,281.46,-28.67,281.46,0.0,3.47,3.96,-1.9,281.46
13.026671,77.5633419,944.92,13.0266571,77.5633701,946.12,296.84,-19.32,296.84,0.0,3.42,3.62,-1.2,296.84
13.0266723,77.5633391,945.32,13.0266571,77.56337,946.09,296.79,-11.6,296.79,0.0,3.75,3.83,-0.77,296.79
13.0266726,77.563341,945.22,13.0266572,77.5633693,946.11,299.19,-14.22,299.19,0.0,3.51,3.62,-0.89,299.19
13.0266724,77.56334,944.91,13.0266519,77.5633693,945.92,305.68,-14.5,305.68,0.0,3.9,4.03,-1.01,305.68
13.026674,77.5633404,944.38,13.0266451,77.5633712,945.71,313.92,-16.05,313.92,0.0,4.62,4.81,-1.33,313.92
13.0266798,77.5633455,945.48,13.0266387,77.5633772,945.76,323.08,-2.81,323.08,0.0,5.7,5.71,-0.28,323.08
13.026681,77.5633456,945.68,13.0266396,77.5633795,945.67,321.42,0.1,321.42,0.1,5.87,5.87,0.01,321.42
13.0266834,77.5633466,946.02,13.0266398,77.563379,945.5,324.1,4.98,324.1,4.98,5.97,5.99,0.52,324.1
13.0266856,77.5633427,946.53,13.0266337,77.5633814,945.5,324.0,8.24,324.0,8.24,7.11,7.18,1.03,324.0
13.0266834,77.5633415,946,13.0266272,77.563383,945.52,324.27,3.58,324.27,3.58,7.68,7.69,0.48,324.27
13.0266843,77.5633365,946.65,13.026622,77.5633823,945.75,324.39,6.05,324.39,6.05,8.5,8.55,0.9,324.39
13.026686,77.5633373,946.59,13.0266169,77.5633814,946.03,328.13,3.55,328.13,3.55,9.02,9.04,0.56,328.13
13.0266827,77.5633378,946.15,13.026611,77.563379,946.45,330.76,-1.89,330.76,0.0,9.1,9.1,-0.3,330.76
13.0266785,77.5633415,946.01,13.026607,77.5633725,946.58,337.1,-3.79,337.1,0.0,8.6,8.62,-0.57,337.1
13.0266809,77.5633459,945.85,13.0266033,77.5633661,946.38,345.77,-3.42,345.77,0.0,8.86,8.88,-0.53,345.77
13.0266831,77.5633475,946.5,13.0265967,77.5633592,946.25,352.48,1.49,352.48,1.49,9.64,9.64,0.25,352.48
13.0266826,77.5633478,946.41,13.0265898,77.5633531,946.16,356.82,1.39,356.82,1.39,10.28,10.28,0.25,356.82
13.0266833,77.5633423,946.87,13.0265825,77.5633457,946.13,358.12,3.79,358.12,3.79,11.16,11.18,0.74,358.12
13.0266831,77.5633351,946.78,13.0265775,77.5633386,946.23,358.15,2.69,358.15,2.69,11.69,11.7,0.55,358.15
13.0266835,77.5633293,947.22,13.0265719,77.5633348,946.22,357.25,4.63,357.25,4.63,12.36,12.4,1.0,357.25
13.0266912,77.5633298,948.76,13.0265647,77.5633296,946.36,0.09,9.73,0.09,9.73,13.99,14.19,2.4,0.09
13.026691,77.5633318,948.83,13.0265582,77.5633234,946.31,3.53,9.71,3.53,9.71,14.72,14.93,2.52,3.53
13.0266907,77.5633321,948.18,13.0265523,77.5633171,946.25,6.03,7.14,6.03,7.14,15.4,15.52,1.93,6.03
