Time,Stream,Lat,Lon,Alt,eph(m),epv(m),fix_type,sats
2025-08-31T00:13:42,DRONE,13.0321785,77.5630322,934.36,,,,
2025-08-31T00:13:42,DRONE,13.0321787,77.5630314,934.32,1.21,2.00,6,10
2025-08-31T00:13:43,DRONE,13.0321777,77.5630377,934.39,,,,
2025-08-31T00:13:43,DRONE,13.0321781,77.5630350,934.34,1.21,2.00,6,10
2025-08-31T00:13:43,DRONE,13.0321763,77.5630467,934.43,,,,
2025-08-31T00:13:43,DRONE,13.0321766,77.5630445,934.40,1.21,2.00,6,10
2025-08-31T00:13:44,DRONE,13.0321741,77.5630602,934.49,,,,
2025-08-31T00:13:44,DRONE,13.0321751,77.5630541,934.45,1.21,2.00,6,10
2025-08-31T00:13:44,DRONE,13.0321713,77.5630785,934.57,,,,
2025-08-31T00:13:44,DRONE,13.0321719,77.5630744,934.54,1.21,2.00,6,10
2025-08-31T00:13:45,DRONE,13.0321678,77.5631019,934.66,,,,
2025-08-31T00:13:45,DRONE,13.0321693,77.5630919,934.62,1.21,2.00,6,10
2025-08-31T00:13:45,DRONE,13.0321634,77.5631303,934.77,,,,
2025-08-31T00:13:45,DRONE,13.0321643,77.5631242,934.75,1.21,2.00,6,10
2025-08-31T00:13:46,DRONE,13.0321583,77.5631634,934.89,,,,
2025-08-31T00:13:46,DRONE,13.0321604,77.5631496,934.84,1.21,2.00,6,10
2025-08-31T00:13:46,DRONE,13.0321526,77.5632004,935.03,,,,
2025-08-31T00:13:46,DRONE,13.0321538,77.5631930,935.00,1.21,2.00,6,10
2025-08-31T00:13:47,DRONE,13.0321464,77.5632406,935.17,,,,
2025-08-31T00:13:47,DRONE,13.0321489,77.5632244,935.11,1.21,2.00,6,10
2025-08-31T00:13:47,DRONE,13.0321399,77.5632827,935.32,,,,
2025-08-31T00:13:47,DRONE,13.0321411,77.5632745,935.29,1.21,2.00,6,10
2025-08-31T00:13:48,DRONE,13.0321332,77.5633260,935.47,,,,
2025-08-31T00:13:48,DRONE,13.0321358,77.5633091,935.41,1.21,2.00,6,10
2025-08-31T00:13:48,DRONE,13.0321265,77.5633698,935.62,,,,
2025-08-31T00:13:48,DRONE,13.0321276,77.5633619,935.58,1.21,2.00,6,10
2025-08-31T00:13:49,DRONE,13.0321196,77.5634142,935.77,,,,
2025-08-31T00:13:49,DRONE,13.0321222,77.5633973,935.70,1.21,2.00,6,10
2025-08-31T00:13:49,DRONE,13.0321127,77.5634589,935.92,,,,
2025-08-31T00:13:49,DRONE,13.0321139,77.5634508,935.89,1.21,2.00,6,10
2025-08-31T00:13:50,DRONE,13.0321058,77.5635037,936.07,,,,
2025-08-31T00:13:50,DRONE,13.0321083,77.5634866,936.02,1.21,2.00,6,10
2025-08-31T00:13:50,DRONE,13.0320989,77.5635486,936.23,,,,
2025-08-31T00:13:50,DRONE,13.0321000,77.5635404,936.20,1.21,2.00,6,10
2025-08-31T00:13:51,DRONE,13.0320919,77.5635936,936.38,,,,
2025-08-31T00:13:51,DRONE,13.0320945,77.5635763,936.32,1.21,2.00,6,10
2025-08-31T00:13:51,DRONE,13.0320850,77.5636387,936.54,,,,
2025-08-31T00:13:51,DRONE,13.0320861,77.5636303,936.52,1.21,2.00,6,10
2025-08-31T00:13:52,DRONE,13.0320780,77.5636838,936.70,,,,
2025-08-31T00:13:52,DRONE,13.0320807,77.5636663,936.64,1.21,2.00,6,10
2025-08-31T00:13:52,DRONE,13.0320711,77.5637287,936.85,,,,
2025-08-31T00:13:52,DRONE,13.0320724,77.5637204,936.82,1.21,2.00,6,10
2025-08-31T00:13:53,DRONE,13.0320642,77.5637737,937.01,,,,
2025-08-31T00:13:53,DRONE,13.0320667,77.5637565,936.95,1.21,2.00,6,10
2025-08-31T00:13:53,DRONE,13.0320572,77.5638190,937.17,,,,
2025-08-31T00:13:53,DRONE,13.0320584,77.5638108,937.14,1.21,2.00,6,10
2025-08-31T00:13:54,DRONE,13.0320502,77.5638644,937.33,,,,
2025-08-31T00:13:54,DRONE,13.0320529,77.5638471,937.27,1.21,2.00,6,10
2025-08-31T00:13:54,DRONE,13.0320433,77.5639098,937.48,,,,
2025-08-31T00:13:54,DRONE,13.0320445,77.5639016,937.45,1.21,2.00,6,10
2025-08-31T00:13:55,DRONE,13.0320363,77.5639551,937.64,,,,
2025-08-31T00:13:55,DRONE,13.0320389,77.5639379,937.58,1.21,2.00,6,10
2025-08-31T00:13:55,DRONE,13.0320293,77.5640006,937.80,,,,
2025-08-31T00:13:55,DRONE,13.0320305,77.5639924,937.77,1.21,2.00,6,10
2025-08-31T00:13:56,DRONE,13.0320223,77.5640462,937.96,,,,
2025-08-31T00:13:56,DRONE,13.0320249,77.5640288,937.90,1.21,2.00,6,10
